date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,931800000.0,1455.22,1478.0,1469.25,1438.36
2000-01-04,1009000000.0,1399.42,1455.22,1455.22,1397.4301
2000-01-05,1085500000.0,1402.11,1413.27,1399.42,1377.6801
2000-01-06,1092300000.0,1403.45,1411.9,1402.11,1392.1
2000-01-07,1225200000.0,1441.47,1441.47,1403.45,1400.73
2000-01-10,1064800000.0,1457.6,1464.36,1441.47,1441.47
2000-01-11,1014000000.0,1438.5601,1458.66,1457.6,1434.42
2000-01-12,974600000.0,1432.25,1442.6,1438.5601,1427.08
2000-01-13,1030400000.0,1449.6801,1454.2,1432.25,1432.25
2000-01-14,1085900000.0,1465.15,1473.0,1449.6801,1449.6801
2000-01-18,1056700000.0,1455.14,1465.15,1465.15,1451.3
2000-01-19,1087800000.0,1455.9,1461.39,1455.14,1448.6801
2000-01-20,1100700000.0,1445.5699,1465.71,1455.9,1438.54
2000-01-21,1209800000.0,1441.36,1453.1801,1445.5699,1439.6
2000-01-24,1115800000.0,1401.53,1454.09,1441.36,1395.42
2000-01-25,1073700000.0,1410.03,1414.26,1401.53,1388.49
2000-01-26,1117300000.0,1404.09,1412.73,1410.03,1400.16
2000-01-27,1129500000.0,1398.5601,1418.86,1404.09,1370.99
2000-01-28,1095800000.0,1360.16,1398.5601,1398.5601,1356.2
2000-01-31,993800000.0,1394.46,1394.48,1360.16,1350.14
2000-02-01,981000000.0,1409.28,1412.49,1394.46,1384.79
2000-02-02,1038600000.0,1409.12,1420.61,1409.28,1403.49
2000-02-03,1146500000.0,1424.97,1425.78,1409.12,1398.52
2000-02-04,1045100000.0,1424.37,1435.91,1424.97,1420.63
2000-02-07,918100000.0,1424.24,1427.15,1424.37,1413.33
2000-02-08,1047700000.0,1441.72,1441.83,1424.24,1424.24
2000-02-09,1050500000.0,1411.71,1444.55,1441.72,1411.65
2000-02-10,1058800000.0,1416.83,1422.1,1411.7,1406.4301
2000-02-11,1025700000.0,1387.12,1416.83,1416.83,1378.89
2000-02-14,927300000.0,1389.9399,1394.9301,1387.12,1380.53
2000-02-15,1092100000.0,1402.05,1407.72,1389.9399,1376.25
2000-02-16,1018800000.0,1387.67,1404.55,1402.05,1385.58
2000-02-17,1034800000.0,1388.26,1399.88,1387.67,1380.0699
2000-02-18,1042300000.0,1346.09,1388.59,1388.26,1345.3199
2000-02-22,980000000.0,1352.17,1358.11,1346.09,1331.88
2000-02-23,993700000.0,1360.6899,1370.11,1352.17,1342.4399
2000-02-24,1215000000.0,1353.4301,1364.8,1360.6899,1329.88
2000-02-25,1065200000.0,1333.36,1362.14,1353.4301,1329.15
2000-02-28,1026500000.0,1348.05,1360.8199,1333.36,1325.0699
2000-02-29,1204300000.0,1366.42,1369.63,1348.05,1348.05
2000-03-01,1274100000.0,1379.1899,1383.46,1366.42,1366.42
2000-03-02,1198600000.0,1381.76,1386.5601,1379.1899,1370.35
2000-03-03,1150300000.0,1409.17,1410.88,1381.76,1381.76
